FlowID,SrcAddress,DestAddress,Start,Count
1,7.0.0.2,7.0.0.3,0.014,4
1,7.0.0.2,7.0.0.3,0.015,1795
1,7.0.0.2,7.0.0.3,0.016,1793
1,7.0.0.2,7.0.0.3,0.017,2374
1,7.0.0.2,7.0.0.3,0.018,2268
1,7.0.0.2,7.0.0.3,0.019,881
1,7.0.0.2,7.0.0.3,0.02,18
1,7.0.0.2,7.0.0.3,0.021,10
1,7.0.0.2,7.0.0.3,0.022,14
1,7.0.0.2,7.0.0.3,0.023,4
1,7.0.0.2,7.0.0.3,0.024,1
2,7.0.0.3,7.0.0.2,0.008,10
2,7.0.0.3,7.0.0.2,0.009,13
2,7.0.0.3,7.0.0.2,0.01,10
2,7.0.0.3,7.0.0.2,0.011,495
2,7.0.0.3,7.0.0.2,0.012,1234
2,7.0.0.3,7.0.0.2,0.013,1291
2,7.0.0.3,7.0.0.2,0.014,998
2,7.0.0.3,7.0.0.2,0.015,1063
3,7.0.0.4,7.0.0.5,0.014,1
3,7.0.0.4,7.0.0.5,0.015,1770
3,7.0.0.4,7.0.0.5,0.016,1782
3,7.0.0.4,7.0.0.5,0.017,2358
3,7.0.0.4,7.0.0.5,0.018,2275
3,7.0.0.4,7.0.0.5,0.019,897
3,7.0.0.4,7.0.0.5,0.02,30
3,7.0.0.4,7.0.0.5,0.021,19
3,7.0.0.4,7.0.0.5,0.022,17
3,7.0.0.4,7.0.0.5,0.023,8
3,7.0.0.4,7.0.0.5,0.024,5
4,7.0.0.5,7.0.0.4,0.008,8
4,7.0.0.5,7.0.0.4,0.009,25
4,7.0.0.5,7.0.0.4,0.01,16
4,7.0.0.5,7.0.0.4,0.011,514
4,7.0.0.5,7.0.0.4,0.012,1232
4,7.0.0.5,7.0.0.4,0.013,1284
4,7.0.0.5,7.0.0.4,0.014,981
4,7.0.0.5,7.0.0.4,0.015,1046
