loop,network,location,traffic,FlowID,SrcAddress,DestAddress,Start,Count
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.008,134
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.009,269
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.01,294
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.011,284
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.012,292
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.013,315
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.014,436
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.015,8656
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.016,8459
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.017,7404
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.018,6133
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.019,4696
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.02,3981
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.021,3702
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.022,6565
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.023,6447
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.024,5342
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.025,4735
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.026,4321
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.027,3761
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.028,3371
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.029,4824
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.03,4300
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.031,3587
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.032,3058
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.033,2657
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.034,2379
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.035,2114
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.036,3008
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.037,3556
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.038,3161
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.039,2609
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.04,2134
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.041,1855
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.042,3108
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.044,1254
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.045,1213
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.046,965
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.047,809
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.048,692
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.049,635
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.05,985
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.052,471
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.053,364
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.054,356
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.055,303
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.056,272
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.057,275
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.058,427
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.06,156
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.061,151
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.062,119
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.063,136
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.064,132
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.065,113
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.066,131
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.067,108
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.068,100
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.069,72
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.07,112
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.072,51
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.073,58
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.074,53
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.075,44
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.076,26
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.077,31
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.078,28
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.079,32
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.08,20
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.081,14
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.082,26
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.083,24
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.084,9
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.085,53
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.086,21
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.088,15
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.089,22
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.09,20
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.091,14
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.092,17
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.093,38
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.094,47
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.095,11
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.096,20
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.097,30
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.098,25
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.099,26
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.1,16
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.101,8
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.102,21
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.104,26
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.105,12
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.106,22
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.107,17
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.108,11
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.109,16
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.11,11
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.111,5
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.112,17
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.113,25
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.114,34
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.115,111
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.116,154
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.117,201
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.118,81
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,0.12,57
