loop,network,location,traffic,FlowID,SrcAddress,DestAddress,Protocol,LostPackets,TxPackets,TxBytes,RxPackets,RxBytes,TimeFirstRxPacket,TimeLastTxPacket,TimeLastRxPacket,Throughput,Goodput
1,private,loc1,Full,1,7.0.0.2,7.0.0.5,TCP,2756,137550,80865096,134794,79244568,1.964999999,659.626999999,659.641999999,122955.50208257428,120491.62126697451
1,private,loc1,Full,2,7.0.0.3,7.0.0.6,TCP,3093,145703,85670088,142610,83851404,1.210999999,734.023999999,734.038999999,116903.3587717668,114421.67056935598
1,private,loc1,Full,3,7.0.0.4,7.0.0.7,TCP,4180,174249,102451592,170069,99993752,2.332999999,799.480999999,799.495999999,128342.83908646557,125437.02103584836
1,private,loc1,Full,4,7.0.0.5,7.0.0.2,TCP,553,77987,4239820,77434,4209104,1.979999999,659.617999999,659.626999999,6446.895247189628,6400.248157446169
1,private,loc1,Full,5,7.0.0.6,7.0.0.3,TCP,879,81801,4437020,80922,4388352,1.225999999,734.038999999,734.053999999,6054.654025228294,5988.242807316315
1,private,loc1,Full,6,7.0.0.7,7.0.0.4,TCP,1259,97738,5310764,96479,5241280,2.347999999,799.469999999,799.480999999,6662.29769788631,6575.163743064206
1,private,loc1,Full,7,7.0.0.8,7.0.0.9,TCP,2792,238853,140433060,236061,138791896,4.906999999,799.500999999,799.515999999,176064.2267062573,174666.90661696508
1,private,loc1,Full,8,7.0.0.9,7.0.0.10,TCP,3706,222211,130646736,218505,128468140,4.241999999,799.546999999,799.561999999,163651.9975722853,161530.1262384952
1,private,loc1,Full,9,7.0.0.9,7.0.0.8,TCP,4714,133402,7193900,128688,6937380,4.932999999,799.486999999,799.500999999,9053.713911752122,8731.0085480412
1,private,loc1,Full,10,7.0.0.10,7.0.0.9,TCP,595,123989,6696928,123394,6664788,4.270999999,799.531999999,799.546999999,8420.737089615108,8380.471685301705
1,private,loc2,Full,1,7.0.0.2,7.0.0.5,TCP,3680,131590,77369792,127910,75205952,1.237999999,659.006999999,659.043999999,117621.87860434978,114328.46766371847
1,private,loc2,Full,2,7.0.0.3,7.0.0.6,TCP,3640,143908,84607332,140268,82467012,1.068999999,734.601999999,734.616999999,115339.86129537129,112422.1073467585
1,private,loc2,Full,3,7.0.0.4,7.0.0.7,TCP,3821,184807,108663352,180986,106416604,2.332999999,799.010999999,799.027999999,136200.8398277478,133572.57670752294
1,private,loc2,Full,4,7.0.0.5,7.0.0.2,TCP,435,74315,4054232,73880,4030292,1.252999999,659.043999999,659.065999999,6163.263941040367,6126.805034257456
1,private,loc2,Full,5,7.0.0.6,7.0.0.3,TCP,861,81810,4461432,80949,4414548,1.083999999,734.587999999,734.601999999,6082.230998788034,6018.322658748661
1,private,loc2,Full,6,7.0.0.7,7.0.0.4,TCP,1253,103076,5578964,101823,5509256,2.347999999,799.027999999,799.040999999,7002.634634333088,6915.155524147946
1,private,loc2,Full,7,7.0.0.8,7.0.0.9,TCP,3034,219369,128977088,216335,127193628,4.389999999,799.554999999,799.569999999,161584.68006504103,159955.7685052441
1,private,loc2,Full,8,7.0.0.9,7.0.0.10,TCP,5212,223266,131273656,218054,128209740,4.130999999,799.480999999,799.495999999,164427.96352157407,161196.10493295532
1,private,loc2,Full,9,7.0.0.9,7.0.0.8,TCP,4392,123286,6667660,118894,6428860,4.425999999,799.539999999,799.554999999,8385.411557567755,8085.304397148137
1,private,loc2,Full,10,7.0.0.10,7.0.0.9,TCP,655,124537,6763616,123882,6728116,4.145999999,799.465999999,799.480999999,8504.109589041096,8459.474309567666
1,private,loc1,Light,1,7.0.0.2,7.0.0.5,TCP,2288,143391,84304448,141103,82959104,1.114999999,659.645999999,659.660999999,128015.92258452612,125973.13475444388
1,private,loc1,Light,2,7.0.0.3,7.0.0.6,TCP,3998,144688,85065232,140690,82714840,1.328999999,734.655999999,734.670999999,115996.52020929962,112791.63064436513
1,private,loc1,Light,3,7.0.0.4,7.0.0.7,TCP,3116,179345,105447676,176229,103615468,2.332999999,799.492999999,799.507999999,132105.42654921033,129978.32094583998
1,private,loc1,Light,4,7.0.0.5,7.0.0.2,TCP,620,79970,4319224,79350,4285216,1.129999999,659.634999999,659.645999999,6558.986818927292,6507.383267832521
1,private,loc1,Light,5,7.0.0.6,7.0.0.3,TCP,935,81968,4477176,81033,4425332,1.350999999,734.639999999,734.655999999,6105.425937971747,6034.776798194476
1,private,loc1,Light,6,7.0.0.7,7.0.0.4,TCP,1211,100604,5442684,99393,5376472,2.347999999,799.477999999,799.492999999,6827.721430856369,6744.660005394251
1,private,loc1,Light,7,7.0.0.8,7.0.0.9,TCP,2756,199441,117065892,196685,115448712,4.242999999,799.021999999,799.049999999,146736.8409383888,145253.7685249375
1,private,loc1,Light,8,7.0.0.9,7.0.0.10,TCP,4057,189428,111193320,185371,108813392,4.343999999,799.049999999,799.065999999,139388.62031985025,136920.0701628997
1,private,loc1,Light,9,7.0.0.9,7.0.0.8,TCP,3988,111487,6018640,107499,5804064,4.257999999,799.049999999,799.064999999,7572.454696548973,7302.482237826291
1,private,loc1,Light,10,7.0.0.10,7.0.0.9,TCP,665,105825,5734472,105160,5698468,4.358999999,799.022999999,799.049999999,7216.085991953983,7170.671367864995
1,private,loc2,Light,1,7.0.0.2,7.0.0.5,TCP,4409,143209,84194368,138800,81601876,1.332999999,659.718999999,659.733999999,127876.96324771388,123939.47761318707
1,private,loc2,Light,2,7.0.0.3,7.0.0.6,TCP,3729,155917,91666008,152188,89473356,1.509999999,734.476999999,734.493999999,125058.97341339538,122067.27022690808
1,private,loc2,Light,3,7.0.0.4,7.0.0.7,TCP,3477,176372,103698676,172895,101654200,2.332999999,799.488999999,799.503999999,129889.39082607308,127518.6879602996
