loop,traffic,network,location,FlowID,SrcAddress,DestAddress,Protocol,LostPackets,TxPackets,TxBytes,RxPackets,RxBytes,TimeFirstRxPacket,TimeLastTxPacket,TimeLastRxPacket,Throughput,Goodput
1,Full,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1230,290968,171077164,289738,170353924,2.074999999,659.591999999,659.608999999,260180.4337295016,259080.02323834205
1,Full,public,loc1,2,7.0.0.3,7.0.0.6,TCP,1440,334458,196652448,333018,195805728,2.673999999,734.422999999,734.437999999,268737.2619472959,267580.4330357875
1,Full,public,loc1,3,7.0.0.4,7.0.0.7,TCP,1582,366043,215222636,364461,214292420,2.544999999,799.463999999,799.478999999,270063.2716262467,268896.06918515207
1,Full,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,156733,8352028,156733,8352028,2.089999999,659.576999999,659.591999999,12702.665543222683,12702.665543222683
1,Full,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,179948,9587316,179948,9587316,2.688999999,734.410999999,734.422999999,13102.133690109971,13102.187406899227
1,Full,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,197516,10529104,197516,10529104,2.559999999,799.451999999,799.463999999,13212.46268385144,13212.512423077307
1,Full,public,loc1,7,7.0.0.8,7.0.0.9,TCP,1973,349283,205367276,347310,204207152,2.636999999,799.497999999,799.512999999,257715.38993005335,256259.63387026332
1,Full,public,loc1,8,7.0.0.9,7.0.0.10,TCP,1761,334631,196751244,332870,195715776,2.159999999,799.482999999,799.498999999,246760.13517001556,245461.185267496
1,Full,public,loc1,9,7.0.0.9,7.0.0.8,TCP,1854,189673,10143232,187819,10046464,2.651999999,799.485999999,799.497999999,12729.177046090288,12607.786197081998
1,Full,public,loc1,10,7.0.0.10,7.0.0.9,TCP,130,179926,9601448,179796,9594480,2.174999999,799.471999999,799.482999999,12042.272034034357,12033.593040581558
2,Full,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1216,293676,172672756,292460,171957748,2.776999999,659.546999999,659.561999999,262905.7861785596,261817.4105681464
2,Full,public,loc1,2,7.0.0.3,7.0.0.6,TCP,1417,332610,195561604,331193,194728408,2.144999999,734.418999999,734.428999999,267055.13681506773,265919.24444614386
2,Full,public,loc1,3,7.0.0.4,7.0.0.7,TCP,1623,366786,215660596,365163,214706272,2.948999999,799.465999999,799.480999999,270749.3652919094,269551.3450809258
2,Full,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,157807,8402304,157807,8402304,2.791999999,659.531999999,659.546999999,12793.665826678138,12793.665826678138
2,Full,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,179332,9558984,179332,9558984,2.159999999,734.410999999,734.418999999,13053.9776529294,13054.10244189556
2,Full,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,198199,10569976,198199,10569976,2.963999999,799.453999999,799.465999999,13270.445257719664,13270.495240438817
2,Full,public,loc1,7,7.0.0.8,7.0.0.9,TCP,1927,348426,204862104,346499,203729028,2.082999999,799.500999999,799.515999999,256901.93337894863,255481.05985079624
2,Full,public,loc1,8,7.0.0.9,7.0.0.8,TCP,2148,189183,10111236,187035,9989460,2.097999999,799.488999999,799.500999999,12680.160420162376,12527.49237211297
2,Full,public,loc1,9,7.0.0.9,7.0.0.10,TCP,1742,337199,198263940,335457,197239644,2.739999999,799.457999999,799.471999999,248846.0097400257,247560.84103563052
2,Full,public,loc1,10,7.0.0.10,7.0.0.9,TCP,134,181107,9658120,180973,9650760,2.754999999,799.442999999,799.457999999,12122.610307730736,12113.372235324832
3,Full,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1174,292021,171697748,290847,171007436,2.977999999,659.514999999,659.529999999,261514.03727444625,260462.897074413
3,Full,public,loc1,2,7.0.0.3,7.0.0.6,TCP,1399,331326,194806696,329927,193984084,2.951999999,734.426999999,734.436999999,266314.76736972114,265192.1556833018
3,Full,public,loc1,3,7.0.0.4,7.0.0.7,TCP,1670,364386,214245156,362716,213263196,2.650999999,799.461999999,799.476999999,268873.04794262635,267640.8601124963
3,Full,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,156967,8357544,156967,8357544,2.992999999,659.503999999,659.514999999,12729.951289057855,12730.028848995158
3,Full,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,178642,9520096,178642,9520096,2.966999999,734.416999999,734.426999999,13015.108036611457,13015.197003253768
3,Full,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,197540,10547876,197540,10547876,2.665999999,799.449999999,799.461999999,13237.812798459836,13237.86263987269
3,Full,public,loc1,7,7.0.0.8,7.0.0.9,TCP,1876,345856,203352028,343980,202248940,2.902999999,799.496999999,799.511999999,255272.06100257943,253887.33996226508
3,Full,public,loc1,8,7.0.0.9,7.0.0.10,TCP,1887,335348,197172232,333461,196062676,2.434999999,799.512999999,799.527999999,247363.96720646825,245972.1462865688
3,Full,public,loc1,9,7.0.0.9,7.0.0.8,TCP,2592,187438,10013724,184846,9875300,2.917999999,799.484999999,799.496999999,12570.86401651054,12397.138262494997
3,Full,public,loc1,10,7.0.0.10,7.0.0.9,TCP,164,180690,9651420,180526,9642540,2.449999999,799.497999999,799.512999999,12108.729171972604,12097.588270939688
4,Full,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1203,289469,170198152,288266,169490788,2.929999999,659.589999999,659.607999999,259181.3382114325,258103.3444092843
4,Full,public,loc1,2,7.0.0.3,7.0.0.6,TCP,1432,332012,195209960,330580,194367944,2.592999999,734.428999999,734.443999999,266734.43664706586,265584.0382810162
4,Full,public,loc1,3,7.0.0.4,7.0.0.7,TCP,1589,365077,214655484,363488,213721152,2.452999999,799.501999999,799.516999999,269307.5684237512,268135.4972749993
4,Full,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,155832,8300820,155832,8300820,2.944999999,659.574999999,659.589999999,12641.259736996397,12641.259736996397
4,Full,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,178738,9523036,178738,9523036,2.607999999,734.413999999,734.428999999,13012.79411222143,13012.79411222143
4,Full,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,197155,10511792,197155,10511792,2.467999999,799.486999999,799.501999999,13188.636871199977,13188.636871199977
4,Full,public,loc1,7,7.0.0.8,7.0.0.9,TCP,1908,342214,201207976,340306,200086072,2.151999999,799.475999999,799.490999999,252349.33523007837,250942.28678140667
4,Full,public,loc1,8,7.0.0.9,7.0.0.8,TCP,2061,185879,9941036,183818,9830288,2.166999999,799.467999999,799.475999999,12468.125561258024,12329.33279318307
4,Full,public,loc1,9,7.0.0.9,7.0.0.10,TCP,1809,335974,197544548,334165,196480856,2.317999999,799.489999999,799.504999999,247801.7468284595,246467.71209264576
4,Full,public,loc1,10,7.0.0.10,7.0.0.9,TCP,139,179905,9592972,179766,9585392,2.332999999,799.474999999,799.489999999,12033.980759122733,12024.471967253628
5,Full,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1207,291451,171368328,290244,170658612,2.745999999,659.012999999,659.046999999,261119.71301517295,260031.010161496
5,Full,public,loc1,2,7.0.0.3,7.0.0.6,TCP,1406,333608,196150372,332202,195323644,2.082999999,734.401999999,734.409999999,267842.641063808,266716.43132098095
5,Full,public,loc1,3,7.0.0.4,7.0.0.7,TCP,1606,368499,216669056,366893,215724728,2.257999999,799.461999999,799.476999999,271781.0544383217,270596.5713310897
5,Full,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,157094,8370484,157094,8370484,2.760999999,659.046999999,659.061999999,12754.032067603126,12754.032067603126
5,Full,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,179435,9555756,179435,9555756,2.097999999,734.392999999,734.401999999,13048.78535046633,13048.892263322334
5,Full,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,198838,10599812,198838,10599812,2.272999999,799.451999999,799.461999999,13296.402130472634,13296.485526017044
5,Full,public,loc1,7,7.0.0.8,7.0.0.9,TCP,1937,346630,203807808,344693,202668852,2.079999999,799.469999999,799.484999999,255588.7721741509,254160.498115763
5,Full,public,loc1,8,7.0.0.9,7.0.0.8,TCP,2035,188022,10046848,185987,9937820,2.094999999,799.458999999,799.469999999,12599.84022654221,12463.169775826933
5,Full,public,loc1,9,7.0.0.9,7.0.0.10,TCP,1747,336296,197734540,334549,196707304,2.121999999,799.510999999,799.525999999,247972.6930550489,246684.62159708253
5,Full,public,loc1,10,7.0.0.10,7.0.0.9,TCP,142,180180,9601224,180038,9593640,2.136999999,799.495999999,799.510999999,12041.054762257108,12031.54354167555
6,Full,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1234,293179,172380864,291945,171655272,2.881999999,659.527999999,659.542999999,262511.0599317313,261406.22330243455
6,Full,public,loc1,2,7.0.0.3,7.0.0.6,TCP,1420,332907,195739448,331487,194904488,2.742999999,734.505999999,734.520999999,267484.6247832642,266343.7381282301
6,Full,public,loc1,3,7.0.0.4,7.0.0.7,TCP,1633,368014,216383180,366381,215422976,2.785999999,799.468999999,799.483999999,271599.8139930489,270394.77443146583
6,Full,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,157549,8388720,157549,8388720,2.896999999,659.518999999,659.527999999,12775.27766482851,12775.394399594292
6,Full,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,179191,9547620,179191,9547620,2.757999999,734.494999999,734.505999999,13047.617225508096,13047.688548516704
6,Full,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,198426,10579364,198426,10579364,2.800999999,799.457999999,799.468999999,13279.447501606684,13279.514176545314
6,Full,public,loc1,7,7.0.0.8,7.0.0.9,TCP,2079,346957,203996756,344878,202774448,2.491999999,799.471999999,799.486999999,255957.37095472703,254423.73917025828
6,Full,public,loc1,8,7.0.0.9,7.0.0.8,TCP,1909,189175,10134312,187266,10034500,2.506999999,799.463999999,799.471999999,12716.020136215577,12590.891695369306
6,Full,public,loc1,9,7.0.0.9,7.0.0.10,TCP,1749,337520,198453456,335771,197425044,2.738999999,799.456999999,799.472999999,249083.74155156675,247792.91959424352
6,Full,public,loc1,10,7.0.0.10,7.0.0.9,TCP,167,180775,9633352,180608,9624196,2.753999999,799.448999999,799.456999999,12091.415948086507,12080.029822907658
7,Full,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1182,291526,171407412,290344,170712396,2.931999999,659.526999999,659.534999999,261048.69887742063,259993.32321052448
7,Full,public,loc1,2,7.0.0.3,7.0.0.6,TCP,1429,332744,195641204,331315,194800952,2.366999999,734.413999999,734.428999999,267246.5713433234,266098.9806874281
7,Full,public,loc1,3,7.0.0.4,7.0.0.7,TCP,1645,365010,214614600,363365,213647340,2.994999999,799.494999999,799.509999999,269441.79174219345,268227.6416639988
7,Full,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,156746,8347140,156746,8347140,2.946999999,659.517999999,659.526999999,12712.942402061572,12713.058576258794
7,Full,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,179276,9555364,179276,9555364,2.381999999,734.404999999,734.413999999,13053.09833642516,13053.205324357405
7,Full,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,197261,10521864,197261,10521864,3.009999999,799.479999999,799.494999999,13210.373076705777,13210.373076705777
7,Full,public,loc1,7,7.0.0.8,7.0.0.9,TCP,2023,342847,201575912,340824,200386388,2.175999999,799.560999999,799.575999999,252791.3070617901,251299.7090544269
7,Full,public,loc1,8,7.0.0.9,7.0.0.8,TCP,2534,186907,10023384,184373,9887304,2.190999999,799.545999999,799.560999999,12570.555701869898,12399.894653673951
7,Full,public,loc1,9,7.0.0.9,7.0.0.10,TCP,1783,335331,197162112,333548,196113708,2.723999999,799.456999999,799.471999999,247458.39112537864,246142.7050962161
7,Full,public,loc1,10,7.0.0.10,7.0.0.9,TCP,176,180459,9632572,180283,9623132,2.738999999,799.443999999,799.456999999,12090.285169193694,12078.466910500329
8,Full,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1180,290055,170541048,288875,169847208,2.410999999,659.541999999,659.556999999,259517.73129130708,258461.90648653416
8,Full,public,loc1,2,7.0.0.3,7.0.0.6,TCP,1402,332791,195668388,331389,194844012,2.412999999,734.424999999,734.432999999,267296.62324548326,266173.07177399524
8,Full,public,loc1,3,7.0.0.4,7.0.0.7,TCP,1598,367236,215925660,365638,214986036,2.758999999,799.459999999,799.474999999,271019.3803668342,269840.23918184143
8,Full,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,156197,8318748,156197,8318748,2.425999999,659.532999999,659.541999999,12659.366145099386,12659.481735340489
8,Full,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,179036,9536936,179036,9536936,2.427999999,734.415999999,734.424999999,13028.547697208893,13028.65448902113
8,Full,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,198217,10565280,198217,10565280,2.773999999,799.447999999,799.459999999,13261.48597507936,13261.535912517604
8,Full,public,loc1,7,7.0.0.8,7.0.0.9,TCP,1944,344645,202638008,342701,201494936,2.655999999,799.464999999,799.473999999,254306.92443218036,252874.4782371884
8,Full,public,loc1,8,7.0.0.9,7.0.0.8,TCP,2288,187673,10047168,185385,9925080,2.670999999,799.455999999,799.464999999,12609.397590361445,12456.268495997709
8,Full,public,loc1,9,7.0.0.9,7.0.0.10,TCP,1734,336938,198110852,335204,197091260,2.744999999,799.443999999,799.460999999,248659.69541618368,247379.568127162
8,Full,public,loc1,10,7.0.0.10,7.0.0.9,TCP,152,181028,9655452,180876,9647260,2.759999999,799.435999999,799.443999999,12119.444050453689,12109.267915509789
1,Light,public,loc1,1,7.0.0.2,7.0.0.5,TCP,2119,318395,187204752,316276,185958780,2.438999999,659.0,659.015999999,285122.45583604206,283224.633211337
1,Light,public,loc1,2,7.0.0.3,7.0.0.6,TCP,2595,363118,213496824,360523,211970964,2.526999999,734.399999999,734.414999999,291706.929199994,289622.13344118226
1,Light,public,loc1,3,7.0.0.4,7.0.0.7,TCP,2797,398392,234240332,395595,232595696,2.993999999,799.411999999,799.426999999,294111.50533650233,292046.7835963603
1,Light,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,173492,9282752,173492,9282752,2.453999999,659.015999999,659.030999999,14138.101090961152,14138.101090961152
1,Light,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,197502,10562420,197502,10562420,2.541999999,734.391999999,734.399999999,14432.197194837849,14432.335234430724
1,Light,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,216328,11559740,216328,11559740,3.008999999,799.396999999,799.411999999,14514.937789033946,14514.937789033944
1,Light,public,loc1,7,7.0.0.8,7.0.0.9,TCP,2981,241112,141457900,238131,139731304,1.888999999,799.284999999,799.299999999,177396.37421262372,175231.22204233453
1,Light,public,loc1,8,7.0.0.9,7.0.0.10,TCP,2445,259359,152128840,256914,150719204,1.869999999,799.007999999,799.024999999,190840.18749909385,189071.39013115392
1,Light,public,loc1,9,7.0.0.9,7.0.0.8,TCP,1370,139261,7668200,137891,7594480,1.899999999,799.273999999,799.284999999,9616.68453758222,9524.232334443212
1,Light,public,loc1,10,7.0.0.10,7.0.0.9,TCP,86,140718,7584092,140632,7579036,1.884999999,799.024999999,799.035999999,9513.94898106391,9507.65413328215
2,Light,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1913,322794,189791328,320881,188666484,2.382999999,659.508999999,659.524999999,288813.2910252841,287101.545784625
2,Light,public,loc1,2,7.0.0.3,7.0.0.6,TCP,2420,359257,211233064,356837,209810104,2.285999999,734.013999999,734.030999999,288670.7489263638,286725.7090926484
2,Light,public,loc1,3,7.0.0.4,7.0.0.7,TCP,2658,390743,229739836,388085,228176932,2.349999999,799.478999999,799.493999999,288203.49503808474,286243.05269813235
2,Light,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,174329,9297512,174329,9297512,2.397999999,659.497999999,659.508999999,14148.987620127376,14149.073748575203
2,Light,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,195351,10441920,195351,10441920,2.300999999,734.030999999,734.043999999,14269.889100711312,14269.928103172835
2,Light,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,213022,11398544,213022,11398544,2.364999999,799.463999999,799.478999999,14299.766407314388,14299.766407314386
2,Light,public,loc1,7,7.0.0.8,7.0.0.9,TCP,2430,266672,156454188,264242,155041316,1.833999999,799.423999999,799.438999999,196154.85514113287,194383.5808451552
2,Light,public,loc1,8,7.0.0.9,7.0.0.10,TCP,2738,243957,143106860,241219,141516452,1.022999999,799.016999999,799.031999999,179329.8057759679,177336.91224033813
2,Light,public,loc1,9,7.0.0.9,7.0.0.8,TCP,1492,147796,7986428,146304,7905468,1.848999999,799.409999999,799.423999999,10013.375527849385,9911.88038742438
2,Light,public,loc1,10,7.0.0.10,7.0.0.9,TCP,48,134851,7287204,134803,7284620,1.037999999,799.014999999,799.029999999,9131.92613459784,9128.688006897311
3,Light,public,loc1,1,7.0.0.2,7.0.0.5,TCP,2013,315756,185643804,313743,184460160,2.019999999,659.511999999,659.526999999,282344.93852562865,280544.7850745315
3,Light,public,loc1,2,7.0.0.3,7.0.0.6,TCP,2343,360761,212108504,358418,210730820,2.225999999,734.463999999,734.478999999,289665.315772613,287784.1674940219
3,Light,public,loc1,3,7.0.0.4,7.0.0.7,TCP,2672,389966,229272556,387294,227701420,2.337999999,799.455999999,799.470999999,287621.4446842566,285650.4748893848
3,Light,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,172423,9236068,172423,9236068,2.034999999,659.496999999,659.511999999,14047.743114968282,14047.743114968282
3,Light,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,196253,10503580,196253,10503580,2.240999999,734.448999999,734.463999999,14344.782941808711,14344.782941808711
3,Light,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,214093,11488528,214093,11488528,2.352999999,799.442999999,799.455999999,14412.816379272492,14412.852542268687
3,Light,public,loc1,7,7.0.0.8,7.0.0.9,TCP,2738,282848,165977484,280110,164390492,1.825999999,799.340999999,799.355999999,208114.2559320529,206124.52446929895
3,Light,public,loc1,8,7.0.0.9,7.0.0.10,TCP,3013,258527,151667708,255514,149922312,1.713999999,799.506999999,799.521999999,190105.3744969672,187917.78473016064
3,Light,public,loc1,9,7.0.0.9,7.0.0.8,TCP,871,154957,8371556,154086,8324096,1.840999999,799.330999999,799.340999999,10497.183089761193,10437.737931034482
3,Light,public,loc1,10,7.0.0.10,7.0.0.9,TCP,206,143023,7755968,142817,7744520,1.728999999,799.492999999,799.506999999,9721.950565256797,9707.612894815353
4,Light,public,loc1,1,7.0.0.2,7.0.0.5,TCP,1921,319914,188098912,317993,186969364,2.278999999,659.573999999,659.591999999,286164.35246810503,284444.95088336914
4,Light,public,loc1,2,7.0.0.3,7.0.0.6,TCP,2391,357154,209988316,354763,208582408,2.345999999,734.410999999,734.419999999,286837.5744797609,284919.84143679467
4,Light,public,loc1,3,7.0.0.4,7.0.0.7,TCP,2532,392601,230834736,390069,229345920,2.557999999,799.477999999,799.492999999,289653.0199905697,287784.9761900281
4,Light,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,172558,9200880,172558,9200880,2.293999999,659.558999999,659.573999999,13998.417721518988,13998.417721518988
4,Light,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,194260,10388600,194260,10388600,2.360999999,734.401999999,734.410999999,14190.990853158772,14191.107164811148
4,Light,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,213552,11417772,213552,11417772,2.572999999,799.465999999,799.477999999,14327.591139755154,14327.645076891224
4,Light,public,loc1,7,7.0.0.8,7.0.0.9,TCP,2206,268732,157682892,266526,156402164,1.843999999,799.370999999,799.385999999,197710.863118616,196105.2383448144
4,Light,public,loc1,8,7.0.0.9,7.0.0.10,TCP,2750,245310,143910736,242560,142305016,1.124999999,799.015999999,799.030999999,180360.4810554987,178348.09614165078
4,Light,public,loc1,9,7.0.0.9,7.0.0.8,TCP,1394,148301,8000568,146907,7925184,1.858999999,799.360999999,799.370999999,10031.846343087356,9937.385268184053
4,Light,public,loc1,10,7.0.0.10,7.0.0.9,TCP,73,134811,7265852,134738,7261920,1.139999999,799.009999999,799.024999999,9106.390018611704,9101.461990136424
5,Light,public,loc1,1,7.0.0.2,7.0.0.5,TCP,2001,322011,189324692,320010,188148104,2.015999999,659.388999999,659.399999999,287995.3357332086,286207.3065362102
5,Light,public,loc1,2,7.0.0.3,7.0.0.6,TCP,2396,361257,212394288,358861,210985440,2.115999999,734.418999999,734.427999999,290029.87664875377,288108.67499098746
5,Light,public,loc1,3,7.0.0.4,7.0.0.7,TCP,2629,395507,232547308,392878,231001456,2.396999999,798.994999999,799.012999999,291919.6912006967,289978.4287536278
5,Light,public,loc1,4,7.0.0.5,7.0.0.2,TCP,0,174283,9303572,174283,9303572,2.030999999,659.378999999,659.388999999,14152.868354318693,14152.976003943057
5,Light,public,loc1,5,7.0.0.6,7.0.0.3,TCP,0,196458,10506992,196458,10506992,2.130999999,734.409999999,734.418999999,14348.05146566816,14348.169026393987
5,Light,public,loc1,6,7.0.0.7,7.0.0.4,TCP,0,215287,11514216,215287,11514216,2.411999999,799.012999999,799.024999999,14453.910039466944,14453.964472083686
5,Light,public,loc1,7,7.0.0.8,7.0.0.9,TCP,2219,265443,155748060,263224,154468104,1.391999999,799.015999999,799.030999999,195261.24715595148,193656.65921550975
5,Light,public,loc1,8,7.0.0.9,7.0.0.10,TCP,2530,244170,143213976,241640,141754464,1.266999999,799.017999999,799.032999999,179518.56127804724,177689.27730687943
5,Light,public,loc1,9,7.0.0.9,7.0.0.8,TCP,1247,145982,7899544,144735,7832300,1.406999999,799.017999999,799.033999999,9903.819584617351,9819.502098098485
